[16-Oct-2023 06:25:17 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:18 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:20 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:35:32 UTC] PHP Parse error:  syntax error, unexpected '<', expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 117
[16-Oct-2023 06:35:37 UTC] PHP Parse error:  syntax error, unexpected '<', expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 117
[16-Oct-2023 06:41:36 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 163
[19-Oct-2023 05:49:00 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:05 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
